Year,Month,Month_Name,Date,Day_of_Week,Day_of_Month,Season,Rush_Period,Is_Weekend,Start_Station_Code,End_Station_Code,Number_of_Rides
2014,1,January,2014-01-01,Wednesday,1,Winter,AM,FALSE,M32003,M32019,1
2014,1,January,2014-01-01,Wednesday,1,Winter,AM,FALSE,M32006,M32006,1
2014,1,January,2014-01-01,Wednesday,1,Winter,AM,FALSE,M32013,M32019,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32005,M32017,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32011,M32005,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32014,M32023,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32018,M32020,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32018,M32024,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32020,M32014,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32026,M32029,1
2014,1,January,2014-01-01,Wednesday,1,Winter,PM,FALSE,M32029,M32011,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32002,M32003,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32002,M32006,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32002,M32037,2
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32006,M32011,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32006,M32013,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32006,M32037,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32007,M32005,2
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32007,M32010,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32007,M32023,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32010,M32002,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32010,M32003,1
2014,1,January,2014-01-06,Monday,6,Winter,AM,FALSE,M32010,M32012,1
