Year,Month,Month_Name,Date,Day_of_Week,Day_of_Month,Season,Rush_Period,Is_Weekend,Start_Station_Code,End_Station_Code,Number_of_Rides
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32001,D32014,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32004,B32015,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32006,B32015,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32009,B32014,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32009,C32003,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32009,D32014,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32009,D32015,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32009,M32019,2
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,B32008,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,B32014,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,B32015,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32000,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32003,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32005,2
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32006,2
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32008,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32011,2
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32010,D32017,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32011,D32016,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32011,M32006,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32011,NA,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32012,B32008,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,A32012,D32012,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32002,B32006,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32002,C32013,2
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32003,B32003,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32003,B32015,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32004,A32010,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32004,D32005,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32004,M32011,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32005,B32005,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32005,D32006,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32005,M32006,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32006,D32005,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32007,B32014,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32007,D32012,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32008,A32000,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32008,D32000,3
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32008,M32002,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32014,C32010,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32014,D32004,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,B32015,A32004,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,C32000,A32010,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,C32000,A32011,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,C32000,B32007,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,C32000,C32003,1
2013,4,April,2013-04-02,Tuesday,2,Spring,AM,FALSE,C32000,C32007,1
